,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune,type
447,0.6586345381526104,0.046516530215740204,0.09215957671403885,0.3027874231338501,0.6315236553133925,27,70.0,4,2,decoder_large_orig,orig,no,decoder
448,0.8554216867469879,0.04283398389816284,0.10494101047515869,0.42264026403427124,0.6404772869421888,28,73.0,4,3,decoder_large_orig,orig,no,decoder
449,0.6586345381526104,0.04070308059453964,0.08562356233596802,0.26577436923980713,0.6557241700119706,29,76.0,4,2,decoder_large_orig,orig,no,decoder
450,0.6546184738955823,0.03566916659474373,0.07367942482233047,0.2706691324710846,0.6210205824420544,30,78.0,4,2,decoder_large_orig,orig,no,decoder
451,0.7228915662650602,0.14419107139110565,0.31457823514938354,0.5734712481498718,0.6423760926908845,31,81.0,4,2,decoder_large_orig,orig,no,decoder
452,0.714859437751004,0.17888018488883972,0.3516543209552765,0.5881714224815369,0.6448638870928544,32,84.0,4,2,decoder_large_orig,orig,no,decoder
453,0.7188755020080322,0.14717689156532288,0.3464544415473938,0.5833836793899536,0.6696699100758882,33,86.0,4,2,decoder_large_orig,orig,no,decoder
454,0.642570281124498,0.061175160109996796,0.12892724573612213,0.4237847924232483,0.6841174055962427,34,89.0,4,2,decoder_large_orig,orig,no,decoder
455,0.642570281124498,0.054696448147296906,0.14286381006240845,0.4398021101951599,0.6791609649298436,35,92.0,4,2,decoder_large_orig,orig,no,decoder
456,0.6506024096385542,0.06311281025409698,0.16972202062606812,0.410574734210968,0.6671867607100257,36,95.0,4,2,decoder_large_orig,orig,no,decoder
457,0.6546184738955824,0.07346758246421814,0.15843527019023895,0.44413667917251587,0.6819541613274641,37,97.0,4,2,decoder_large_orig,orig,no,decoder
458,0.5381526104417671,-5.115907697472721e-13,5.115907697472721e-13,0.3200366497039795,0.5098974590208097,1,0.0,1,1,decoder_neo_pretr_orig,orig,yes,decoder
459,0.5140562248995983,0.002972634043544531,0.007033095695078373,0.34252282977104187,0.5131050587468542,2,8.0,1,1,decoder_neo_pretr_orig,orig,yes,decoder
460,0.5261044176706827,0.0024697561748325825,0.005728187970817089,0.3423881530761719,0.5127660994528694,3,15.0,2,1,decoder_neo_pretr_orig,orig,yes,decoder
461,0.5461847389558233,0.0054471055045723915,0.01294029038399458,0.3537875711917877,0.5097967466780073,4,23.0,2,1,decoder_neo_pretr_orig,orig,yes,decoder
462,0.5903614457831325,0.024028468877077103,0.04331545904278755,0.38036882877349854,0.5237522702737,5,31.0,2,1,decoder_neo_pretr_orig,orig,yes,decoder
463,0.5903614457831325,0.04839155077934265,0.08238004148006439,0.3950294256210327,0.535235857571052,6,38.0,3,1,decoder_neo_pretr_orig,orig,yes,decoder
464,0.5943775100401606,0.06934241205453873,0.09879729151725769,0.4228057265281677,0.5461696144396965,7,46.0,3,1,decoder_neo_pretr_orig,orig,yes,decoder
465,0.6024096385542169,0.061226122081279755,0.12667453289031982,0.4237772226333618,0.5357891111602486,8,54.0,3,1,decoder_neo_pretr_orig,orig,yes,decoder
466,0.5863453815261044,0.06777168065309525,0.11633327603340149,0.3979962170124054,0.5482186596747537,9,62.0,4,1,decoder_neo_pretr_orig,orig,yes,decoder
467,0.5983935742971888,0.054517313838005066,0.1095382571220398,0.41760289669036865,0.5395474797381143,10,69.0,4,1,decoder_neo_pretr_orig,orig,yes,decoder
