,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune
92,0.9156626506024097,0.09695115685462952,0.18197207152843475,0.43782156705856323,0.5505268090487181,27,79.0,4,4,llama8b_mixed,orig,no
93,0.8995983935742972,0.14685536921024323,0.23739314079284668,0.5361607670783997,0.6611210338305256,28,82.0,4,4,llama8b_mixed,orig,no
94,0.9076305220883534,0.08642806857824326,0.20933561027050018,0.4864189624786377,0.5546605338101153,29,85.0,4,4,llama8b_mixed,orig,no
95,0.8955823293172691,0.18584385514259338,0.22670333087444305,0.4851278066635132,0.5803539072525555,30,88.0,4,4,llama8b_mixed,orig,no
96,0.891566265060241,0.14094959199428558,0.20156589150428772,0.4755082130432129,0.6642175157623212,31,91.0,4,4,llama8b_mixed,orig,no
97,0.8955823293172691,0.13745254278182983,0.18716199696063995,0.5260152816772461,0.6609676146089419,32,94.0,4,4,llama8b_mixed,orig,no
98,0.8714859437751004,0.13796639442443848,0.24189536273479462,0.5517618656158447,0.5853963726313157,33,97.0,4,3,llama8b_mixed,orig,no
99,0.5478723404255319,0.0,0.0,0.3200370967388153,0.5098974035082158,1,0.0,1,1,llama8b-it_ttt,ttt,yes
100,0.5265957446808511,0.7527498006820679,0.76286381483078,0.8689147233963013,0.7010093749121966,2,3.0,1,1,llama8b-it_ttt,ttt,yes
101,0.5425531914893618,0.625879168510437,0.6317116022109985,0.7716271281242371,0.6989667255945494,3,6.0,1,1,llama8b-it_ttt,ttt,yes
102,0.5797872340425532,0.5731419324874878,0.6316282749176025,0.7604392170906067,0.704528386254603,4,9.0,1,1,llama8b-it_ttt,ttt,yes
103,0.5053191489361702,0.0005758315091952682,0.0005758315091952682,0.03413147106766701,0.8584487017131791,5,12.0,1,1,llama8b-it_ttt,ttt,yes
104,0.574468085106383,0.7531290054321289,0.850989818572998,0.9080944657325745,0.7048539038712118,6,15.0,1,1,llama8b-it_ttt,ttt,yes
105,0.5106382978723405,0.00025301548885181546,0.00025301548885181546,0.024204179644584656,0.12013827044287927,7,18.0,1,1,llama8b-it_ttt,ttt,yes
106,0.5797872340425532,0.7488808631896973,0.8593854904174805,0.9222955703735352,0.7066512732029567,8,21.0,2,1,llama8b-it_ttt,ttt,yes
107,0.5106382978723404,0.0001755187549861148,0.00017565261805430055,0.01753930002450943,0.660927477787541,9,24.0,2,1,llama8b-it_ttt,ttt,yes
108,0.5691489361702128,0.7425162196159363,0.8964567184448242,0.9348834156990051,0.7067890692259453,10,27.0,2,1,llama8b-it_ttt,ttt,yes
109,0.5053191489361701,0.0003851517103612423,0.0003851517103612423,0.028405457735061646,0.6290816595359084,11,30.0,2,1,llama8b-it_ttt,ttt,yes
110,0.5212765957446809,0.000588339171372354,0.000588339171372354,0.027136366814374924,0.9185588113592102,12,33.0,2,1,llama8b-it_ttt,ttt,yes
111,0.5851063829787234,0.7716006636619568,0.9485156536102295,0.9808292388916016,0.7063545703952565,13,36.0,2,1,llama8b-it_ttt,ttt,yes
112,0.6223404255319149,0.737245500087738,0.9315845966339111,0.9657787084579468,0.7052537479771719,14,39.0,2,1,llama8b-it_ttt,ttt,yes
113,0.6382978723404256,0.801936149597168,0.8902859687805176,0.9733861684799194,0.7067882779455091,15,42.0,2,2,llama8b-it_ttt,ttt,yes
114,0.6276595744680851,0.7143600583076477,0.7352178692817688,0.8454499840736389,0.7063746069237156,16,45.0,3,2,llama8b-it_ttt,ttt,yes
115,0.6329787234042553,0.6229654550552368,0.7757015228271484,0.9285309910774231,0.7029272106857377,17,48.0,3,2,llama8b-it_ttt,ttt,yes
116,0.6329787234042553,0.6116290092468262,0.7730194330215454,0.8699582815170288,0.7047592942825558,18,52.0,3,2,llama8b-it_ttt,ttt,yes
117,0.6648936170212766,0.7005524039268494,0.7562627792358398,0.8698816299438477,0.7021414351469512,19,55.0,3,2,llama8b-it_ttt,ttt,yes
118,0.648936170212766,0.5802886486053467,0.7199597358703613,0.8784385323524475,0.7058323909931512,20,58.0,3,2,llama8b-it_ttt,ttt,yes
119,0.648936170212766,0.5254366397857666,0.72454833984375,0.8623326420783997,0.7048009386215222,21,61.0,3,2,llama8b-it_ttt,ttt,yes
120,0.648936170212766,0.44999960064888,0.69989013671875,0.9169390797615051,0.7043312270409082,22,64.0,3,2,llama8b-it_ttt,ttt,yes
121,0.6382978723404256,0.5061339139938354,0.7647757530212402,0.8974248170852661,0.7055901219286372,23,67.0,3,2,llama8b-it_ttt,ttt,yes
122,0.6382978723404256,0.4633515477180481,0.6715645790100098,0.882892370223999,0.7057594763699783,24,70.0,4,2,llama8b-it_ttt,ttt,yes
123,0.6382978723404256,0.44777780771255493,0.6745985746383667,0.8679705858230591,0.7060085984544057,25,73.0,4,2,llama8b-it_ttt,ttt,yes
124,0.6382978723404256,0.30606529116630554,0.5721288919448853,0.7450547218322754,0.6794515352471097,26,76.0,4,2,llama8b-it_ttt,ttt,yes
125,0.6382978723404256,0.500636100769043,0.6833493709564209,0.8580636382102966,0.7059413236542174,27,79.0,4,2,llama8b-it_ttt,ttt,yes
126,0.6329787234042553,0.4427383542060852,0.7407071590423584,0.8592272400856018,0.7053523670644635,28,82.0,4,2,llama8b-it_ttt,ttt,yes
127,0.6382978723404256,0.38766446709632874,0.6455031037330627,0.8740563988685608,0.7056431171813203,29,85.0,4,2,llama8b-it_ttt,ttt,yes
128,0.6329787234042553,0.3663552403450012,0.7252843379974365,0.8393620848655701,0.7053273218089199,30,88.0,4,2,llama8b-it_ttt,ttt,yes
